captured: macos macOS 26.6.2 arm64 · bare-metal · 2026-09-07 · euid 501 (jsmith) · leg-hash dd4cae6837a4
== action=list
subject|issuer|thumbprint|not_before|not_after|serial|store|key_usage
O=TeliaSonera, CN=TeliaSonera Root CA v1|O=TeliaSonera, CN=TeliaSonera Root CA v1|4313BB96F1D5869BC14E6A92F6CFF63469878237|2007-10-18|2032-10-18|95BE16A0F72E46F17B398272FA8BCD96|SystemRootCertificates.keychain|Certificate Sign, CRL Sign
C=US, O=Starfield Technologies, Inc., OU=Starfield Class 2 Certification Authority|C=US, O=Starfield Technologies, Inc., OU=Starfield Class 2 Certification Authority|AD7E1C28B064EF8F6003402014C3D0E3370EB58A|2004-06-29|2034-06-29|00|SystemRootCertificates.keychain|(none)
C=US, O=AffirmTrust, CN=AffirmTrust Premium ECC|C=US, O=AffirmTrust, CN=AffirmTrust Premium ECC|B8236B002F1D16865301556C11A437CAEBFFC3BB|2010-01-29|2040-12-31|7497258AC73F7A54|SystemRootCertificates.keychain|Certificate Sign, CRL Sign
C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance EV Root CA|C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance EV Root CA|5FB7EE0633E259DBAD0C4C9AE6D38F1A61C7DC25|2006-11-10|2031-11-10|02AC5C266A0B409B8F0B79F2AE462577|SystemRootCertificates.keychain|Digital Signature, Certificate Sign, CRL Sign
C=BE, O=GlobalSign nv-sa, CN=GlobalSign Secure Mail Root E45|C=BE, O=GlobalSign nv-sa, CN=GlobalSign Secure Mail Root E45|182E1F324F89DFBEFE8889F093C2C4A02B677521|2020-03-18|2045-03-18|7653FEAA271D95465DD6F19EE5B8900A|SystemRootCertificates.keychain|Digital Signature, Certificate Sign, CRL Sign
C=TW, O=TAIWAN-CA, OU=Root CA, CN=TWCA Global Root CA|C=TW, O=TAIWAN-CA, OU=Root CA, CN=TWCA Global Root CA|9CBB4853F6A4F6D352A4E83252556013F5ADAF65|2012-06-27|2030-12-31|0CBE|SystemRootCertificates.keychain|Certificate Sign, CRL Sign
C=CH, O=WISeKey, OU=OISTE Foundation Endorsed, CN=OISTE WISeKey Global Root GC CA|C=CH, O=WISeKey, OU=OISTE Foundation Endorsed, CN=OISTE WISeKey Global Root GC CA|E011845E34DEBE8881B99CF61626D1961FC3B931|2017-05-09|2042-05-09|212A560CAEDA0CAB4045BF2BA22D3AEA|SystemRootCertificates.keychain|Certificate Sign, CRL Sign
C=NO, O=Buypass AS-983163327, CN=Buypass Class 3 Root CA|C=NO, O=Buypass AS-983163327, CN=Buypass Class 3 Root CA|DAFAF7FA6684EC068F1450BDC7C281A5BCA96457|2010-10-26|2040-10-26|02|SystemRootCertificates.keychain|Certificate Sign, CRL Sign
C=US, O=Apple Inc., CN=Apple Platform Developer ECC Root CA - G1|C=US, O=Apple Inc., CN=Apple Platform Developer ECC Root CA - G1|5B408A802A9BC7D3F3DF1577DF14C1FBAD43C34A|2024-12-13|2049-12-08|73BBB1C93F84B49474DBDA3B01FBC628|SystemRootCertificates.keychain|Certificate Sign, CRL Sign
C=JP, O=SECOM Trust Systems Co., Ltd., CN=SECOM SMIME RSA Root CA 2024|C=JP, O=SECOM Trust Systems Co., Ltd., CN=SECOM SMIME RSA Root CA 2024|90A5E1BDC53F6908C2E3739FE755E37F75F38447|2024-01-31|2049-01-14|DDA9DB9E7EBCD46D|SystemRootCertificates.keychain|Certificate Sign, CRL Sign
CN=Atos TrustedRoot 2011, O=Atos, C=DE|CN=Atos TrustedRoot 2011, O=Atos, C=DE|2BB1F53E550C1DC5F1D4E6B76A464B550602AC21|2011-07-07|2030-12-31|5C33CB622C5FB332|SystemRootCertificates.keychain|Digital Signature, Certificate Sign, CRL Sign
C=SK, L=Bratislava, O=Disig a.s., CN=CA Disig Root R2|C=SK, L=Bratislava, O=Disig a.s., CN=CA Disig Root R2|B561EBEAA4DEE4254B691A98A55747C234C7D971|2012-07-19|2042-07-19|92B888DBB08AC163|SystemRootCertificates.keychain|Certificate Sign, CRL Sign
C=US, O=IdenTrust, CN=IdenTrust Public Sector Root CA 1|C=US, O=IdenTrust, CN=IdenTrust Public Sector Root CA 1|BA29416077983FF4F3EFF231053B2EEA6D4D45FD|2014-01-16|2034-01-16|0A0142800000014523CF467C00000002|SystemRootCertificates.keychain|Certificate Sign, CRL Sign
C=FI, O=Telia Finland Oyj, CN=Telia Root CA v2|C=FI, O=Telia Finland Oyj, CN=Telia Root CA v2|B999CDD173508AC44705089C8C88FBBEA02B40CD|2018-11-29|2043-11-29|01675F27D6FE7AE3E4ACBE095B059E|SystemRootCertificates.keychain|Certificate Sign, CRL Sign
C=US, O=SSL Corporation, CN=SSL.com Client RSA Root CA 2022|C=US, O=SSL Corporation, CN=SSL.com Client RSA Root CA 2022|AA5970E520329FCBD0D5799FFB1B821DFD1F7965|2022-08-25|2046-08-19|76AFEE88931545B650539B809CA4DF9A|SystemRootCertificates.keychain|Digital Signature, Certificate Sign, CRL Sign
C=US, ST=Texas, L=Houston, O=SSL Corporation, CN=SSL.com Root Certification Authority ECC|C=US, ST=Texas, L=Houston, O=SSL Corporation, CN=SSL.com Root Certification Authority ECC|C3197C3924E654AF1BC4AB20957AE2C30E13026A|2016-02-12|2041-02-12|75E6DFCBC1685BA8|SystemRootCertificates.keychain|Digital Signature, Certificate Sign, CRL Sign
C=JP, O=SECOM Trust Systems CO.,LTD., CN=Security Communication ECC RootCA1|C=JP, O=SECOM Trust Systems CO.,LTD., CN=Security Communication ECC RootCA1|B80E26A9BFD2B23BC0EF46C9BAC7BBF61D0D4141|2016-06-16|2038-01-18|D65D9BB378812EEB|SystemRootCertificates.keychain|Certificate Sign, CRL Sign
C=ES, O=FNMT-RCM, OU=AC RAIZ FNMT-RCM|C=ES, O=FNMT-RCM, OU=AC RAIZ FNMT-RCM|EC503507B215C4956219E2A89A5B42992C4C2C20|2008-10-29|2030-01-01|5D938D306736C8061D1AC754846907|SystemRootCertificates.keychain|Certificate Sign, CRL Sign
C=US, ST=Texas, L=Houston, O=SSL Corporation, CN=SSL.com EV Root Certification Authority RSA R2|C=US, ST=Texas, L=Houston, O=SSL Corporation, CN=SSL.com EV Root Certification Authority RSA R2|743AF0529BD032A0F44A83CDD4BAA97B7C2EC49A|2017-05-31|2042-05-30|56B629CD34BC78F6|SystemRootCertificates.keychain|Digital Signature, Certificate Sign, CRL Sign
C=JP, O=SECOM Trust Systems Co., Ltd., CN=SECOM TLS RSA Root CA 2024|C=JP, O=SECOM Trust Systems Co., Ltd., CN=SECOM TLS RSA Root CA 2024|FB97967CEF8D986306C03BB611F8E01397A298D3|2024-01-31|2049-01-14|EE8934D0CB80E0B2|SystemRootCertificates.keychain|Certificate Sign, CRL Sign
C=US, ST=Texas, L=Houston, O=SSL Corporation, CN=SSL.com EV Root Certification Authority ECC|C=US, ST=Texas, L=Houston, O=SSL Corporation, CN=SSL.com EV Root Certification Authority ECC|4CDD51A3D1F5203214B0C6C532230391C746426D|2016-02-12|2041-02-12|2C299C5B16ED0595|SystemRootCertificates.keychain|Digital Signature, Certificate Sign, CRL Sign
C=US, ST=New Jersey, L=Jersey City, O=The USERTRUST Network, CN=USERTrust ECC Certification Authority|C=US, ST=New Jersey, L=Jersey City, O=The USERTRUST Network, CN=USERTrust ECC Certification Authority|D1CBCA5DB2D52A7F693B674DE5F05A1D0C957DF0|2010-02-01|2038-01-18|5C8B99C55A94C5D27156DECD8980CC26|SystemRootCertificates.keychain|Certificate Sign, CRL Sign
C=GR, O=Hellenic Academic and Research Institutions CA, CN=HARICA TLS RSA Root CA 2021|C=GR, O=Hellenic Academic and Research Institutions CA, CN=HARICA TLS RSA Root CA 2021|022D0582FA88CE140C0679DE7F1410E945D7A56D|2021-02-19|2045-02-13|39CA931CEF43F3C68E93C7F46489387E|SystemRootCertificates.keychain|Digital Signature, Certificate Sign, CRL Sign
C=GB, O=Sectigo Limited, CN=Sectigo Public Time Stamping Root R46|C=GB, O=Sectigo Limited, CN=Sectigo Public Time Stamping Root R46|52421AEAC424C2435E7F5355A30437A3B1745879|2021-03-22|2046-03-21|783D056CFA832E7E69F85622769F02B9|SystemRootCertificates.keychain|Digital Signature, Certificate Sign, CRL Sign
C=DE, O=Atos, CN=Atos TrustedRoot Root CA RSA G2 2020|C=DE, O=Atos, CN=Atos TrustedRoot Root CA RSA G2 2020|32D127FA93B1C14C99E24A40BC7F94411B5AACA4|2020-12-15|2040-12-10|47BA2946553E169297B0AB40|SystemRootCertificates.keychain|Digital Signature, Certificate Sign, CRL Sign
C=BE, O=GlobalSign nv-sa, CN=GlobalSign Root E46|C=BE, O=GlobalSign nv-sa, CN=GlobalSign Root E46|39B46CD5FE8006EBE22F4ABB0833A0AFDBB9DD84|2019-03-20|2046-03-20|11D2BBBA336ED4BCE62468C50D841D98E843|SystemRootCertificates.keychain|Digital Signature, Certificate Sign, CRL Sign
C=US, O=DigiCert, Inc., CN=DigiCert TLS RSA4096 Root G5|C=US, O=DigiCert, Inc., CN=DigiCert TLS RSA4096 Root G5|A78849DC5D7C758C8CDE399856B3AAD0B2A57135|2021-01-15|2046-01-14|08F9B478A8FA7EDA6A333789DE7CCF8A|SystemRootCertificates.keychain|Digital Signature, Certificate Sign, CRL Sign
C=US, O=DigiCert, Inc., CN=DigiCert SMIME ECC P384 Root G5|C=US, O=DigiCert, Inc., CN=DigiCert SMIME ECC P384 Root G5|1CB8A708C90D207901A0B2367FF09565E45324FE|2021-01-15|2046-01-14|053F6EA00601727DED3FC3A3B6A3D6EF|SystemRootCertificates.keychain|Digital Signature, Certificate Sign, CRL Sign
C=BM, O=QuoVadis Limited, CN=QuoVadis Root CA 3 G3|C=BM, O=QuoVadis Limited, CN=QuoVadis Root CA 3 G3|4812BD923CA8C43906E7306D2796E6A4CF222E7D|2012-01-12|2042-01-12|2EF59B0228A7DB7AFFD5A3A9EEBD03A0CF126A1D|SystemRootCertificates.keychain|Certificate Sign, CRL Sign
C=IN, OU=emSign PKI, O=eMudhra Technologies Limited, CN=emSign ECC Root CA - G3|C=IN, OU=emSign PKI, O=eMudhra Technologies Limited, CN=emSign ECC Root CA - G3|3043FA4FF257DCA0C380EE2E58EA78B23FE6BBC1|2018-02-18|2043-02-18|3CF607A968700EDA8B84|SystemRootCertificates.keychain|Certificate Sign, CRL Sign
C=US, O=Apple Inc., CN=Apple Platform ECC Root CA - G1|C=US, O=Apple Inc., CN=Apple Platform ECC Root CA - G1|76A5A99929FA37F994384BD51EFD6EACBEE6AD44|2024-12-13|2049-12-08|238EF6EB07869CC9A7FF03D4805D6933|SystemRootCertificates.keychain|Certificate Sign, CRL Sign
C=GR, O=Hellenic Academic and Research Institutions CA, CN=HARICA Client RSA Root CA 2021|C=GR, O=Hellenic Academic and Research Institutions CA, CN=HARICA Client RSA Root CA 2021|46C6900A773AB6BCF465ADACFCE3F707006EDE6E|2021-02-19|2045-02-13|5552F81EDB1B242C9EBB9618CD02283E|SystemRootCertificates.keychain|Digital Signature, Certificate Sign, CRL Sign
C=PL, O=Unizeto Technologies S.A., OU=Certum Certification Authority, CN=Certum Trusted Network CA 2|C=PL, O=Unizeto Technologies S.A., OU=Certum Certification Authority, CN=Certum Trusted Network CA 2|D3DD483E2BBF4C05E8AF10F5FA7626CFD3DC3092|2011-10-06|2046-10-06|21D6D04A4F250FC93237FCAA5E128DE9|SystemRootCertificates.keychain|Certificate Sign, CRL Sign
C=HU, L=Budapest, O=NetLock Kft., OU=Tanúsítványkiadók (Certification Services), CN=NetLock Arany (Class Gold) Főtanúsítvány|C=HU, L=Budapest, O=NetLock Kft., OU=Tanúsítványkiadók (Certification Services), CN=NetLock Arany (Class Gold) Főtanúsítvány|06083F593F15A104A069A46BA903D006B7970991|2008-12-11|2028-12-06|49412CE40010|SystemRootCertificates.keychain|Certificate Sign, CRL Sign
C=KR, O=NAVER BUSINESS PLATFORM Corp., CN=NAVER Global Root Certification Authority|C=KR, O=NAVER BUSINESS PLATFORM Corp., CN=NAVER Global Root Certification Authority|8F6BF2A9274ADA14A0C4F48E6127F9C01E785DD1|2017-08-18|2037-08-18|0194301EA20BDDF5C5332AB1434471F8D6504D0D|SystemRootCertificates.keychain|Certificate Sign, CRL Sign
C=US, ST=Illinois, L=Chicago, O=Trustwave Holdings, Inc., CN=Trustwave Global Certification Authority|C=US, ST=Illinois, L=Chicago, O=Trustwave Holdings, Inc., CN=Trustwave Global Certification Authority|2F8F364FE1589744215987A52A9AD06995267FB5|2017-08-23|2042-08-23|05F70E86DA49F346352EBAB2|SystemRootCertificates.keychain|Certificate Sign, CRL Sign
C=GB, O=Sectigo Limited, CN=Sectigo Public Email Protection Root E46|C=GB, O=Sectigo Limited, CN=Sectigo Public Email Protection Root E46|3AC5C378345BE1829246ED1786B393917B51F214|2021-03-22|2046-03-21|6EF5D3A7418EA05940A7306BD2406556|SystemRootCertificates.keychain|Digital Signature, Certificate Sign, CRL Sign
C=DE, O=T-Systems Enterprise Services GmbH, OU=T-Systems Trust Center, CN=T-TeleSec GlobalRoot Class 3|C=DE, O=T-Systems Enterprise Services GmbH, OU=T-Systems Trust Center, CN=T-TeleSec GlobalRoot Class 3|55A6723ECBF2ECCDC3237470199D2ABE11E381D1|2008-10-01|2033-10-01|01|SystemRootCertificates.keychain|Certificate Sign, CRL Sign
CN=Apple Root CA - G3, OU=Apple Certification Authority, O=Apple Inc., C=US|CN=Apple Root CA - G3, OU=Apple Certification Authority, O=Apple Inc., C=US|B52CB02FD567E0359FE8FA4D4C41037970FE01B0|2014-04-30|2039-04-30|2DC5FC88D2C54B95|SystemRootCertificates.keychain|Certificate Sign, CRL Sign
C=BM, O=QuoVadis Limited, CN=QuoVadis Root CA 2|C=BM, O=QuoVadis Limited, CN=QuoVadis Root CA 2|CA3AFBCF1240364B44B216208880483919937CF7|2006-11-24|2031-11-24|0509|SystemRootCertificates.keychain|Certificate Sign, CRL Sign
C=US, O=Microsoft Corporation, CN=Microsoft RSA Root Certificate Authority 2017|C=US, O=Microsoft Corporation, CN=Microsoft RSA Root Certificate Authority 2017|73A5E64A3BFF8316FF0EDCCC618A906E4EAE4D74|2019-12-18|2042-07-18|1ED397095FD8B4B347701EAABE7F45B3|SystemRootCertificates.keychain|Digital Signature, Certificate Sign, CRL Sign
C=US, O=SSL Corporation, CN=SSL.com Client ECC Root CA 2022|C=US, O=SSL Corporation, CN=SSL.com Client ECC Root CA 2022|807B1D9D65723DC756F9ECC5008349F6F2ACF486|2022-08-25|2046-08-19|76F8481EAEF03C701FE03F25540183D5|SystemRootCertificates.keychain|Digital Signature, Certificate Sign, CRL Sign
C=BE, O=GlobalSign nv-sa, OU=Root CA, CN=GlobalSign Root CA|C=BE, O=GlobalSign nv-sa, OU=Root CA, CN=GlobalSign Root CA|B1BC968BD4F49D622AA89A81F2150152A41D829C|1998-09-01|2028-01-28|040000000001154B5AC394|SystemRootCertificates.keychain|Certificate Sign, CRL Sign
C=BM, O=QuoVadis Limited, CN=QuoVadis Root CA 2 G3|C=BM, O=QuoVadis Limited, CN=QuoVadis Root CA 2 G3|093C61F38B8BDC7D55DF7538020500E125F5C836|2012-01-12|2042-01-12|445734245B81899B35F2CEB82B3B5BA726F07528|SystemRootCertificates.keychain|Certificate Sign, CRL Sign
C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert Global Root G3|C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert Global Root G3|7E04DE896A3E666D00E687D33FFAD93BE83D349E|2013-08-01|2038-01-15|055556BCF25EA43535C3A40FD5AB4572|SystemRootCertificates.keychain|Digital Signature, Certificate Sign, CRL Sign
C=US, O=Entrust, Inc., OU=www.entrust.net/CPS is incorporated by reference, OU=(c) 2006 Entrust, Inc., CN=Entrust Root Certification Authority|C=US, O=Entrust, Inc., OU=www.entrust.net/CPS is incorporated by reference, OU=(c) 2006 Entrust, Inc., CN=Entrust Root Certification Authority|B31EB1B740E36C8402DADC37D44DF5D4674952F9|2006-11-27|2026-11-27|456B5054|SystemRootCertificates.keychain|Certificate Sign, CRL Sign
